bibkey,paper,task,subject,choice,r,soep,soep_financial,country
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,1,13,1.0833333333333333,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,2,8,0.47058823529411764,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,3,7,0.3888888888888889,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,4,10,0.6666666666666666,3,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,5,12,0.9230769230769231,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,6,11,0.7857142857142857,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,7,13,1.0833333333333333,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,8,10,0.6666666666666666,0,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,9,16,1.7777777777777777,2,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,10,11,0.7857142857142857,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,11,14,1.2727272727272727,7,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,12,17,2.125,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,13,8,0.47058823529411764,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,14,10,0.6666666666666666,5,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,15,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,16,14,1.2727272727272727,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,17,12,0.9230769230769231,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,18,17,2.125,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,19,7,0.3888888888888889,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,20,13,1.0833333333333333,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,21,10,0.6666666666666666,6,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,22,9,0.5625,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,23,19,3.1666666666666665,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,24,10,0.6666666666666666,6,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,25,10,0.6666666666666666,6,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,26,13,1.0833333333333333,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,27,5,0.25,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,28,9,0.5625,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,29,21,5.25,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,30,5,0.25,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,31,7,0.3888888888888889,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,32,9,0.5625,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,33,10,0.6666666666666666,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,34,8,0.47058823529411764,3,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,35,9,0.5625,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,36,10,0.6666666666666666,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,37,12,0.9230769230769231,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,38,10,0.6666666666666666,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,39,9,0.5625,10,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,40,13,1.0833333333333333,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,41,11,0.7857142857142857,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,42,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,43,9,0.5625,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,44,12,0.9230769230769231,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,45,12,0.9230769230769231,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,46,16,1.7777777777777777,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,47,11,0.7857142857142857,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,48,12,0.9230769230769231,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,49,11,0.7857142857142857,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,50,16,1.7777777777777777,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,51,5,0.25,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,52,13,1.0833333333333333,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,53,20,4,4,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,54,10,0.6666666666666666,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,55,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,56,9,0.5625,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,57,13,1.0833333333333333,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,58,12,0.9230769230769231,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,59,13,1.0833333333333333,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,60,16,1.7777777777777777,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,61,12,0.9230769230769231,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,62,11,0.7857142857142857,10,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,63,10,0.6666666666666666,3,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,64,13,1.0833333333333333,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,65,10,0.6666666666666666,8,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,66,14,1.2727272727272727,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,67,10,0.6666666666666666,2,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,68,13,1.0833333333333333,2,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,69,6,0.3157894736842105,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,70,13,1.0833333333333333,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,71,13,1.0833333333333333,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,72,7,0.3888888888888889,7,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,73,14,1.2727272727272727,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,74,12,0.9230769230769231,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,75,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,76,11,0.7857142857142857,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,77,7,0.3888888888888889,4,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,78,15,1.5,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,79,6,0.3157894736842105,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,80,5,0.25,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,81,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,82,7,0.3888888888888889,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,83,11,0.7857142857142857,6,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,84,10,0.6666666666666666,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,85,8,0.47058823529411764,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,86,15,1.5,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,87,7,0.3888888888888889,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,88,11,0.7857142857142857,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,89,9,0.5625,4,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,90,5,0.25,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,91,16,1.7777777777777777,8,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,92,15,1.5,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,93,12,0.9230769230769231,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,94,12,0.9230769230769231,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,95,6,0.3157894736842105,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,96,10,0.6666666666666666,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,97,10,0.6666666666666666,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,98,12,0.9230769230769231,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,99,8,0.47058823529411764,6,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,100,8,0.47058823529411764,8,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,101,7,0.3888888888888889,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,102,15,1.5,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,103,10,0.6666666666666666,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,104,13,1.0833333333333333,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,105,10,0.6666666666666666,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,106,11,0.7857142857142857,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,107,12,0.9230769230769231,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,108,13,1.0833333333333333,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,109,9,0.5625,1,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,110,10,0.6666666666666666,6,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,111,15,1.5,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,112,5,0.25,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,113,12,0.9230769230769231,6,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,114,13,1.0833333333333333,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,115,13,1.0833333333333333,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,116,13,1.0833333333333333,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,117,9,0.5625,2,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,118,6,0.3157894736842105,0,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,119,13,1.0833333333333333,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,120,13,1.0833333333333333,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,121,8,0.47058823529411764,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,122,15,1.5,8,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,123,9,0.5625,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,124,12,0.9230769230769231,2,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,125,12,0.9230769230769231,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,126,11,0.7857142857142857,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,127,10,0.6666666666666666,1,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,128,8,0.47058823529411764,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,129,11,0.7857142857142857,1,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,130,11,0.7857142857142857,1,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,131,11,0.7857142857142857,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,132,11,0.7857142857142857,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,133,17,2.125,5,10,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,134,12,0.9230769230769231,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,135,15,1.5,8,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,136,10,0.6666666666666666,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,137,7,0.3888888888888889,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,138,8,0.47058823529411764,6,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,139,5,0.25,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,140,5,0.25,6,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,141,5,0.25,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,142,8,0.47058823529411764,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,143,10,0.6666666666666666,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,144,25,10,5,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,145,15,1.5,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,146,14,1.2727272727272727,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,147,12,0.9230769230769231,7,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,148,4,0.19047619047619047,0,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,149,9,0.5625,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,150,5,0.25,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,151,11,0.7857142857142857,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,152,9,0.5625,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,153,12,0.9230769230769231,10,9,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,154,15,1.5,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,155,7,0.3888888888888889,0,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,156,12,0.9230769230769231,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,157,14,1.2727272727272727,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,158,16,1.7777777777777777,8,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,159,12,0.9230769230769231,4,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,160,10,0.6666666666666666,9,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,161,11,0.7857142857142857,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,162,12,0.9230769230769231,4,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,163,6,0.3157894736842105,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,164,12,0.9230769230769231,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,165,12,0.9230769230769231,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,166,7,0.3888888888888889,1,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,167,13,1.0833333333333333,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,168,14,1.2727272727272727,9,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,169,12,0.9230769230769231,10,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,170,5,0.25,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,171,15,1.5,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,172,8,0.47058823529411764,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,173,13,1.0833333333333333,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,174,12,0.9230769230769231,5,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,175,10,0.6666666666666666,7,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,176,14,1.2727272727272727,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,177,4,0.19047619047619047,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,178,7,0.3888888888888889,3,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,179,15,1.5,1,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,180,9,0.5625,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,181,7,0.3888888888888889,6,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,182,12,0.9230769230769231,5,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,183,13,1.0833333333333333,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,184,11,0.7857142857142857,7,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,185,9,0.5625,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,186,13,1.0833333333333333,9,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,187,6,0.3157894736842105,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,188,13,1.0833333333333333,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,189,12,0.9230769230769231,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,190,16,1.7777777777777777,5,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,191,9,0.5625,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,192,8,0.47058823529411764,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,193,12,0.9230769230769231,6,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,194,12,0.9230769230769231,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,195,15,1.5,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,196,10,0.6666666666666666,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,197,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,198,5,0.25,1,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,199,10,0.6666666666666666,8,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,200,9,0.5625,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,201,16,1.7777777777777777,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,202,9,0.5625,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,203,15,1.5,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,204,9,0.5625,4,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,205,4,0.19047619047619047,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,206,10,0.6666666666666666,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,207,9,0.5625,8,0,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,208,9,0.5625,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,209,10,0.6666666666666666,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,210,13,1.0833333333333333,7,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,211,10,0.6666666666666666,8,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,212,13,1.0833333333333333,8,9,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,213,24,24,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,214,14,1.2727272727272727,2,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,215,10,0.6666666666666666,3,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,216,12,0.9230769230769231,6,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,217,16,1.7777777777777777,2,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,218,10,0.6666666666666666,8,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,219,13,1.0833333333333333,3,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,220,12,0.9230769230769231,7,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,221,13,1.0833333333333333,7,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,222,10,0.6666666666666666,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,223,15,1.5,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,224,10,0.6666666666666666,6,8,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,225,11,0.7857142857142857,4,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,226,13,1.0833333333333333,2,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,227,16,1.7777777777777777,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,228,5,0.25,4,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,229,10,0.6666666666666666,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,230,12,0.9230769230769231,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,231,11,0.7857142857142857,9,9,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,232,10,0.6666666666666666,4,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,233,7,0.3888888888888889,5,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,234,10,0.6666666666666666,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,235,6,0.3157894736842105,4,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,236,15,1.5,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,237,13,1.0833333333333333,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,238,6,0.3157894736842105,2,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,239,15,1.5,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,240,10,0.6666666666666666,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,241,12,0.9230769230769231,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,242,12,0.9230769230769231,4,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,243,8,0.47058823529411764,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,244,9,0.5625,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,245,5,0.25,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,246,16,1.7777777777777777,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,247,12,0.9230769230769231,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,248,10,0.6666666666666666,1,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,249,13,1.0833333333333333,10,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,250,9,0.5625,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,251,14,1.2727272727272727,10,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,252,12,0.9230769230769231,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,253,12,0.9230769230769231,6,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,254,5,0.25,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,255,9,0.5625,7,6,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,256,6,0.3157894736842105,1,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,257,13,1.0833333333333333,2,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,258,5,0.25,5,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,259,8,0.47058823529411764,7,9,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,260,13,1.0833333333333333,3,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,261,5,0.25,4,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,262,17,2.125,6,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,263,8,0.47058823529411764,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,264,12,0.9230769230769231,5,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,265,12,0.9230769230769231,8,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,266,8,0.47058823529411764,7,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,267,19,3.1666666666666665,9,9,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,268,12,0.9230769230769231,5,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,269,12,0.9230769230769231,3,4,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,270,8,0.47058823529411764,4,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,271,5,0.25,8,5,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,272,13,1.0833333333333333,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,273,13,1.0833333333333333,7,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,274,12,0.9230769230769231,1,1,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,275,7,0.3888888888888889,3,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,276,13,1.0833333333333333,6,2,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,277,12,0.9230769230769231,8,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,278,15,1.5,6,3,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,279,10,0.6666666666666666,7,7,Austria
Huber2019,"Huber, Palan and Zeisberger 2019",BRET,280,7,0.3888888888888889,5,2,Austria
