bibkey,paper,task,subject,choice,r,country
Dursch2017,Dursch et al 2017,HL,1,5,0.647432409194298,Germany
Dursch2017,Dursch et al 2017,HL,2,7,1.365339135848917,Germany
Dursch2017,Dursch et al 2017,HL,3,7,1.25242935069371,Germany
Dursch2017,Dursch et al 2017,HL,4,7,1.2360075748339294,Germany
Dursch2017,Dursch et al 2017,HL,5,8,1.6394458932848648,Germany
Dursch2017,Dursch et al 2017,HL,6,7,1.4449391865497454,Germany
Dursch2017,Dursch et al 2017,HL,7,10,2.71,Germany
Dursch2017,Dursch et al 2017,HL,8,7,1.3081021348806097,Germany
Dursch2017,Dursch et al 2017,HL,9,6,1.0751708742463961,Germany
Dursch2017,Dursch et al 2017,HL,10,7,1.458456477271393,Germany
Dursch2017,Dursch et al 2017,HL,11,7,1.4103206925978884,Germany
Dursch2017,Dursch et al 2017,HL,12,7,1.4697124356310813,Germany
Dursch2017,Dursch et al 2017,HL,13,5,0.7986535498872399,Germany
Dursch2017,Dursch et al 2017,HL,14,6,1.1488117670174687,Germany
Dursch2017,Dursch et al 2017,HL,15,5,0.7770276234624907,Germany
Dursch2017,Dursch et al 2017,HL,16,6,1.0826657492434606,Germany
Dursch2017,Dursch et al 2017,HL,17,5,0.7364307163283228,Germany
Dursch2017,Dursch et al 2017,HL,18,7,1.4777168426010758,Germany
Dursch2017,Dursch et al 2017,HL,19,8,1.9389824766712263,Germany
Dursch2017,Dursch et al 2017,HL,20,6,1.121367126586847,Germany
Dursch2017,Dursch et al 2017,HL,21,10,2.71,Germany
Dursch2017,Dursch et al 2017,HL,22,9,2.5298364891204983,Germany
Dursch2017,Dursch et al 2017,HL,23,7,1.1921712638065218,Germany
Dursch2017,Dursch et al 2017,HL,24,6,1.0057828013552352,Germany
Dursch2017,Dursch et al 2017,HL,25,7,1.4424628280010074,Germany
Dursch2017,Dursch et al 2017,HL,26,8,1.4947960903402417,Germany
Dursch2017,Dursch et al 2017,HL,27,6,0.8958126500714569,Germany
Dursch2017,Dursch et al 2017,HL,28,6,1.128903703088872,Germany
Dursch2017,Dursch et al 2017,HL,29,7,1.2138367413496598,Germany
Dursch2017,Dursch et al 2017,HL,30,6,0.8607229169690981,Germany
Dursch2017,Dursch et al 2017,HL,31,8,1.8204469323763623,Germany
Dursch2017,Dursch et al 2017,HL,32,5,0.7429990926478058,Germany
Dursch2017,Dursch et al 2017,HL,33,7,1.2395908025885,Germany
Dursch2017,Dursch et al 2017,HL,34,6,0.9336316007655113,Germany
Dursch2017,Dursch et al 2017,HL,35,8,1.79094608402811,Germany
Dursch2017,Dursch et al 2017,HL,36,6,0.8717961233109236,Germany
Dursch2017,Dursch et al 2017,HL,37,6,0.8938385958550498,Germany
Dursch2017,Dursch et al 2017,HL,38,5,0.8138149325549602,Germany
Dursch2017,Dursch et al 2017,HL,39,5,0.6241457856539636,Germany
Dursch2017,Dursch et al 2017,HL,40,7,1.4523442253191023,Germany
Dursch2017,Dursch et al 2017,HL,41,6,1.0017228168668224,Germany
Dursch2017,Dursch et al 2017,HL,42,7,1.2718255695002152,Germany
Dursch2017,Dursch et al 2017,HL,43,4,0.3712104442319833,Germany
Dursch2017,Dursch et al 2017,HL,44,7,1.2916221254039555,Germany
Dursch2017,Dursch et al 2017,HL,45,8,1.5226086745318026,Germany
Dursch2017,Dursch et al 2017,HL,46,9,2.50549081640318,Germany
Dursch2017,Dursch et al 2017,HL,47,7,1.4323286314355208,Germany
Dursch2017,Dursch et al 2017,HL,48,7,1.29721820584964,Germany
Dursch2017,Dursch et al 2017,HL,49,5,0.8374833773262799,Germany
Dursch2017,Dursch et al 2017,HL,50,6,1.137122582225129,Germany
Dursch2017,Dursch et al 2017,HL,51,6,0.9364785941550507,Germany
Dursch2017,Dursch et al 2017,HL,52,7,1.420570635148324,Germany
Dursch2017,Dursch et al 2017,HL,53,7,1.3068022028636186,Germany
Dursch2017,Dursch et al 2017,HL,54,8,1.779261833122,Germany
Dursch2017,Dursch et al 2017,HL,55,8,1.6438592694932594,Germany
Dursch2017,Dursch et al 2017,HL,56,7,1.257073994334787,Germany
Dursch2017,Dursch et al 2017,HL,57,4,0.34642886646790433,Germany
Dursch2017,Dursch et al 2017,HL,58,5,0.7492113331472501,Germany
Dursch2017,Dursch et al 2017,HL,59,4,0.39856351057533174,Germany
Dursch2017,Dursch et al 2017,HL,60,8,1.6003277486003935,Germany
Dursch2017,Dursch et al 2017,HL,61,6,0.8772256819298491,Germany
Dursch2017,Dursch et al 2017,HL,62,8,1.9174767793389038,Germany
Dursch2017,Dursch et al 2017,HL,63,10,2.71,Germany
Dursch2017,Dursch et al 2017,HL,64,1,-0.37,Germany
Dursch2017,Dursch et al 2017,HL,65,9,2.162022538697347,Germany
Dursch2017,Dursch et al 2017,HL,66,7,1.4457981579285115,Germany
Dursch2017,Dursch et al 2017,HL,67,7,1.3860056154895575,Germany
Dursch2017,Dursch et al 2017,HL,68,8,1.8626531372312456,Germany
Dursch2017,Dursch et al 2017,HL,69,5,0.6854650924773886,Germany
Dursch2017,Dursch et al 2017,HL,70,8,1.6800849213637412,Germany
Dursch2017,Dursch et al 2017,HL,71,5,0.7149625368276611,Germany
Dursch2017,Dursch et al 2017,HL,72,6,0.9673858547350391,Germany
Dursch2017,Dursch et al 2017,HL,73,7,1.4525259853992611,Germany
Dursch2017,Dursch et al 2017,HL,74,5,0.7788347622286528,Germany
Dursch2017,Dursch et al 2017,HL,75,8,1.6080060149310156,Germany
Dursch2017,Dursch et al 2017,HL,76,4,0.5059577169641852,Germany
Dursch2017,Dursch et al 2017,HL,77,5,0.6644587419927119,Germany
Dursch2017,Dursch et al 2017,HL,78,7,1.443167147282511,Germany
Dursch2017,Dursch et al 2017,HL,79,4,0.576711457488127,Germany
Dursch2017,Dursch et al 2017,HL,80,7,1.478591995886527,Germany
Dursch2017,Dursch et al 2017,HL,81,6,0.9569545370526611,Germany
Dursch2017,Dursch et al 2017,HL,82,8,1.6867788127576933,Germany
Dursch2017,Dursch et al 2017,HL,83,7,1.340687489346601,Germany
Dursch2017,Dursch et al 2017,HL,84,7,1.451463391892612,Germany
Dursch2017,Dursch et al 2017,HL,85,4,0.5356861713109538,Germany
Dursch2017,Dursch et al 2017,HL,86,8,1.7455315726948901,Germany
Dursch2017,Dursch et al 2017,HL,87,7,1.2722026193886995,Germany
Dursch2017,Dursch et al 2017,HL,88,8,1.872994542378001,Germany
Dursch2017,Dursch et al 2017,HL,89,5,0.720811818074435,Germany
Dursch2017,Dursch et al 2017,HL,90,7,1.4794467694405466,Germany
Dursch2017,Dursch et al 2017,HL,91,6,1.0940500353928655,Germany
Dursch2017,Dursch et al 2017,HL,92,7,1.2924582639662547,Germany
Dursch2017,Dursch et al 2017,HL,93,8,1.863203986659646,Germany
Dursch2017,Dursch et al 2017,HL,94,3,0.26747689096955585,Germany
Dursch2017,Dursch et al 2017,HL,95,5,0.8457908786181361,Germany
Dursch2017,Dursch et al 2017,HL,96,8,1.9076999679254367,Germany
Dursch2017,Dursch et al 2017,HL,97,9,2.1793978042714297,Germany
Dursch2017,Dursch et al 2017,HL,98,8,1.844727360876277,Germany
Dursch2017,Dursch et al 2017,HL,99,5,0.7001355638029053,Germany
Dursch2017,Dursch et al 2017,HL,100,4,0.3655292540276423,Germany
Dursch2017,Dursch et al 2017,HL,101,7,1.3437040861230343,Germany
Dursch2017,Dursch et al 2017,HL,102,5,0.6075148317823186,Germany
Dursch2017,Dursch et al 2017,HL,103,5,0.6859100728202611,Germany
Dursch2017,Dursch et al 2017,HL,104,6,0.9341046700719744,Germany
Dursch2017,Dursch et al 2017,HL,105,7,1.1804337059101089,Germany
Dursch2017,Dursch et al 2017,HL,106,8,1.644081848533824,Germany
Dursch2017,Dursch et al 2017,HL,107,8,1.5752848890889435,Germany
Dursch2017,Dursch et al 2017,HL,108,6,1.0574788039084524,Germany
Dursch2017,Dursch et al 2017,HL,109,8,1.6550317585235461,Germany
Dursch2017,Dursch et al 2017,HL,110,8,1.5290406080149115,Germany
Dursch2017,Dursch et al 2017,HL,111,5,0.787591523937881,Germany
Dursch2017,Dursch et al 2017,HL,112,5,0.735090837078169,Germany
Dursch2017,Dursch et al 2017,HL,113,8,1.862444012677297,Germany
Dursch2017,Dursch et al 2017,HL,114,6,0.9893836991628632,Germany
Dursch2017,Dursch et al 2017,HL,115,5,0.7127628001570702,Germany
Dursch2017,Dursch et al 2017,HL,116,8,1.5690458610467612,Germany
Dursch2017,Dursch et al 2017,HL,117,7,1.1682396680582314,Germany
Dursch2017,Dursch et al 2017,HL,118,8,1.7164376896061002,Germany
Dursch2017,Dursch et al 2017,HL,119,7,1.2518086422840133,Germany
Dursch2017,Dursch et al 2017,HL,120,8,1.5691892187017946,Germany
Dursch2017,Dursch et al 2017,HL,121,5,0.7804466617852449,Germany
Dursch2017,Dursch et al 2017,HL,122,6,1.0881206760415807,Germany
Dursch2017,Dursch et al 2017,HL,123,7,1.1849937992589548,Germany
Dursch2017,Dursch et al 2017,HL,124,8,1.6902343681734056,Germany
Dursch2017,Dursch et al 2017,HL,125,8,1.610501499660313,Germany
Dursch2017,Dursch et al 2017,HL,126,7,1.2802663556626066,Germany
Dursch2017,Dursch et al 2017,HL,127,6,0.8954787193797529,Germany
Dursch2017,Dursch et al 2017,HL,128,7,1.3990372621081768,Germany
Dursch2017,Dursch et al 2017,HL,129,5,0.8026570992358029,Germany
Dursch2017,Dursch et al 2017,HL,130,7,1.4517904656752945,Germany
Dursch2017,Dursch et al 2017,HL,131,6,0.9996096262708306,Germany
Dursch2017,Dursch et al 2017,HL,132,4,0.4515372659405693,Germany
Dursch2017,Dursch et al 2017,HL,133,4,0.3974611542280763,Germany
