"partid","pumps","pumps_sh1","pumps_sh2","pumps_adj","pumps1","pumps2","pumps3"
64000401,36.86,33.6,40.36,39.56,28.56,44.1,37.1
64004701,51.57,49,54.13,63.33,39.5,59.8,55.4
64006401,33.1,34.33,31.87,35.48,29,31.9,38.4
64006901,35.77,36.07,35.47,37.86,41.6,29.3,36.4
64007901,37.03,35.67,38.4,38.1,56.4,31.7,23
64008701,43.87,50.8,36.93,50.78,35.1,46.8,49.7
64011501,41.43,38.8,44.07,47.12,45.7,38.5,40.1
64015601,42.23,38,46.47,45.72,50.5,39.6,36.6
64016901,33.67,37.2,30.13,35.32,30.9,29.9,40.2
64018301,32.1,31.27,32.93,30.71,45.1,31.2,20
64020401,50.03,40.6,59.47,59.6,57.1,48.2,44.8
64020501,25.67,25.73,25.6,27.23,13.8,20.6,42.6
64021901,27.77,27.27,28.27,29.74,25.1,27.8,30.4
64022901,34.1,31.6,36.6,37.04,31.9,37.1,33.3
64025601,26.93,27.27,26.6,24.78,15.8,24,41
64026901,43,49.2,36.8,49.06,41.4,43.9,43.7
64027801,47.83,46.07,49.6,50.69,54.1,38.9,50.5
64029901,21.6,22.27,20.93,22.11,26.4,21.4,17
64031301,24.14,24.71,23.6,25.43,21.3,21.78,29.1
64034901,24.9,23.27,26.53,24.65,14.7,30.5,29.5
64036201,37.4,35.27,39.53,38.21,20.3,42.9,49
64036701,33.73,34.73,32.73,36.14,30.6,35,35.6
64037701,42.17,40.33,44,47.74,48.1,39.5,38.9
64039601,36.83,41.2,32.47,38.14,22,36.3,52.2
64042701,32.63,32.33,32.93,33.33,37.6,30.3,30
64046301,35.73,38.07,33.4,40.45,39.8,36,31.4
64047801,44.1,44.73,43.47,47.06,50,48.5,33.8
64049601,32.07,30.4,33.73,34.04,26.7,32.8,36.7
64049701,40.4,44.73,36.07,44.83,38,48.2,35
64051301,36.17,34.47,37.87,40,30.7,37.3,40.5
64051501,43.13,42.33,43.93,50.53,40.6,46.6,42.2
64052901,32,28.87,35.13,33.33,39.8,22.7,33.5
64053701,27.8,28.87,26.73,29.79,15.5,28.4,39.5
64055001,35.63,28.93,42.33,39.05,27.2,41.6,38.1
64056701,27.33,28.07,26.6,29.17,24,29.8,28.2
64057101,34.57,32.6,36.53,35.4,23.3,30.1,50.3
64057201,15.83,15.67,16,15.62,16,14.2,17.3
64057901,26.13,25.67,26.6,26.67,22.3,27.1,29
64058101,22.1,21.2,23,23.16,24.6,23.3,18.4
64058701,16.03,16.73,15.33,16.63,14,18.2,15.9
64059001,36.33,33.93,38.73,38.95,27,28.9,53.1
64060701,53.73,55.07,52.4,67.18,68.2,39.7,53.3
64061701,46.87,45.27,48.47,55.5,44.3,49.2,47.1
64061901,16.33,16,16.67,16.96,16.8,17.1,15.1
64063501,30,32.27,27.73,31.43,28,28.3,33.7
64063601,33.57,34.33,32.8,36.55,33.2,37.5,30
64066601,42.57,41.47,43.67,48.75,53.6,43.3,30.8
64067701,45.87,39.73,52,53,44.5,40.5,52.6
64068201,38.23,41.87,34.6,40.37,49.2,37,28.5
64069001,25.07,26.33,23.8,26.54,22.7,26.4,26.1
64069401,33.47,35.73,31.2,35.71,29.2,35,36.2
64069501,43.6,45.4,41.8,50,49,41.7,40.1
64069601,35,38.87,31.13,37,41.8,31.2,32
64070201,27.77,28.47,27.07,28.56,38,27.5,17.8
64070601,26.43,26.67,26.2,28.17,27.9,27.3,24.1
64071401,40.03,43.13,36.93,42.5,21.5,47.1,51.5
64072601,27.8,26.2,29.4,29.56,23.6,29.9,29.9
64072701,40.87,32.67,49.07,45.16,38,45.1,39.5
64072901,25.1,24,26.2,26.88,18.8,18.1,38.4
64073001,47.2,48.73,45.67,55.5,50,47.3,44.3
64073201,19.1,18.4,19.8,19.96,20.4,20.4,16.5
64073501,32,31.53,32.47,33.41,24.1,38.3,33.6
64075601,24.77,23.53,26,24.38,22.9,23.5,27.9
64075801,52.57,47.93,57.2,58.93,49.2,64.2,44.3
64076301,32.5,31.6,33.4,33.9,20.6,31.1,45.8
64079401,50.41,54.93,45.57,64,49.22,46.1,55.8
64079601,44.8,44.47,45.13,47.06,43.2,48,43.2
64079801,46.03,38.8,53.27,47.06,41,63.1,34
64080101,43.5,47.2,39.8,50.72,45.2,46.3,39
64081701,36.97,39.27,34.67,41.5,35.9,35.7,39.3
64082001,29.8,27.47,32.13,31.18,32,26.2,31.2
64082301,45.13,46,44.27,48.71,57.1,45.2,33.1
64083001,37.07,40.47,33.67,38.29,53.7,34.2,23.3
64083901,36.47,38.73,34.2,40,38.5,38,32.9
64084601,37.8,36.87,38.73,42.11,37.8,33.6,42
64085501,31.27,31.93,30.6,32.4,22.1,28.2,43.5
64086301,41.17,39.4,42.93,46.84,44.4,34.3,44.8
64088601,37.8,34,41.6,42.4,40.8,32.3,40.3
64089401,33.47,32.2,34.73,36.04,29.8,35.8,34.8
64089701,18.37,16.67,20.07,18.88,11.9,15.8,27.4
64090101,39.93,37.27,42.6,43.89,37.8,33.6,48.4
64090301,35.97,37.87,34.07,40,41.9,27.7,38.3
64090901,35.53,34.2,36.87,37.11,24.6,36.7,45.3
64092901,43.73,42.67,44.8,50.28,39.2,47.7,44.3
64093501,32.13,34.2,30.07,35,34.4,32.5,29.5
64094201,27.73,26.53,28.93,29.17,30.2,27.5,25.5
64096601,40.07,42,38.13,42.11,51.4,39.6,29.2
64098201,39.73,37.87,41.6,44.12,39.4,43.8,36
64099201,41.03,43,39.07,43.22,42.2,40.2,40.7
64100101,34.27,28.73,39.8,35.38,37.9,28.4,36.5
64100701,45.07,44.8,45.33,52.78,53.6,43.1,38.5
64100901,40.43,38.87,42,45.15,46.7,42.6,32
64101101,32.73,33.8,31.67,36.36,34.3,31.2,32.7
64102101,36.03,35,37.07,37.43,33.6,29.1,45.4
64102401,48.53,49.07,48,57.36,49.7,50,45.9
64102801,44.6,40.6,48.6,45.81,25.8,60.7,47.3
64103301,6.03,5.21,6.8,6.21,6.33,5.9,5.9
64103801,49.57,48.13,51,58,54.3,49,45.4
64104501,34.1,37.53,30.67,35.71,51.7,27.3,23.3
64104601,33.9,32.33,35.47,35.45,34.4,37.1,30.2
64105101,35.83,38,33.67,36.11,46.7,28.8,32
64109601,40.83,39,42.67,44.11,44.3,38.5,39.7
64110701,58.57,60.93,56.2,77,62.6,68,45.1
64111001,27.97,28.27,27.67,29.86,32.8,23.2,27.9
64111201,39.43,38.2,40.67,36.84,38.4,38.3,41.6
64112901,51.3,45.47,57.13,64.43,52.5,51.9,49.5
64113001,42.77,39.07,46.47,47.94,50.6,38.6,39.1
64114801,43.4,42.6,44.2,50.25,41.5,43.5,45.2
64115101,47.97,46.4,49.53,55.35,43.2,50.7,50
64115601,36.03,38.33,33.73,40,44,28.3,35.8
64116101,20.47,20,20.93,21.23,18.9,16.4,26.1
64116201,52.73,54.4,51.07,65.36,53.7,54.7,49.8
64116301,38.93,42.53,35.33,42.89,41.1,39.5,36.2
64116901,42.2,41.33,43.07,45.53,52.8,41.1,32.7
64117601,33,31.87,34.13,35.78,26.9,34.1,38
64118001,21.37,23.27,19.47,21.12,23.7,21.1,19.3
64118401,46.33,49.4,43.27,55.56,44.8,42,52.2
64118601,36.03,35.53,36.53,37.37,52.4,33.1,22.6
64120001,37.77,36.87,38.67,41.79,47.7,30.8,34.8
64120201,21.5,20.2,22.8,22.21,16,21,27.5
64120701,30.57,29.8,31.33,32,33.1,32.6,26
64121001,27.9,27.4,28.4,29.77,23.2,27.3,33.2
64121601,22.73,23.87,21.6,24,24.8,22.7,20.7
64122901,24.5,23.87,25.13,24.65,27.5,26.5,19.5
64124501,35.47,36.27,34.67,38.1,42.3,31.8,32.3
64125001,39.3,43.4,35.2,44.05,29.3,39.7,48.9
64125601,27.6,26.47,28.73,28.54,12.8,29.7,40.3
64126601,42.67,39.27,46.07,46.22,27.6,54.1,46.3
64126701,26.1,25.93,26.27,27,29.2,22.8,26.3
64127001,41.7,41,42.4,46.78,48.9,37.6,38.6
64127201,48.07,47.53,48.6,54.5,52.2,45.7,46.3
64127301,46.37,45.4,47.33,55.82,50.6,46.4,42.1
64129001,42.3,44,40.6,48.95,34.3,36.3,56.3
64129201,45,41,49,53.33,43.4,48.5,43.1
64129701,23.57,22,25.13,24.79,17.9,27.3,25.5
64130101,49.13,56.93,41.33,57.33,60.8,35.2,51.4
64130201,34.3,35.6,33,35,34.2,35,33.7
64130901,22.4,21.53,23.27,23.08,24.3,20.6,22.3
64131001,37.73,39.27,36.2,42.73,36.2,34.8,42.2
64131501,53.63,47.67,59.6,64.09,39.2,51.8,69.9
64134301,43.9,39.8,48,51.58,44.3,42.6,44.8
64134801,33.17,34.67,31.67,36.96,31.6,35.2,32.7
64135001,30.57,30.6,30.53,31.05,36.1,23.5,32.1
64136701,38.73,39.4,38.07,42.35,55.4,33.6,27.2
64136801,30.5,33,28,32.86,32.6,33.5,25.4
64137401,27.4,28.2,26.6,29.38,21.2,30.4,30.6
64138101,20.03,18.27,21.8,20.56,12.1,24.6,23.4
64138301,17.87,16.8,18.93,18.54,15.2,17.9,20.5
64139201,36.03,34.27,37.8,36.11,42.3,36,29.8
64139301,27.23,26.73,27.73,27.88,12.1,36.2,33.4
64139401,40.23,43.53,36.93,43.32,35.5,45.7,39.5
64141301,27.77,31.2,24.33,28.7,21.9,22.5,38.9
64141701,39.53,37.2,41.87,42.32,35.2,41.8,41.6
64142601,37.97,38.47,37.47,43.24,23.3,47.1,43.5
64143401,43.57,47.53,39.6,44.59,48.5,46.5,35.7
64144101,37.4,41.4,33.4,42.14,32.9,40,39.3
64144501,20.8,17.8,23.8,20.37,16.8,26.6,19
64144601,38.77,38.27,39.27,42.53,41.9,33.5,40.9
64146301,33.53,33.6,33.47,35,38.4,22.3,39.9
64146901,34.8,27.67,41.93,35,29.8,37.4,37.2
64148301,34,32.8,35.2,34.74,41.6,24,36.4
64148601,28.13,26.47,29.8,29.09,23.8,25.4,35.2
64148801,34.83,32.6,37.07,38.64,28.5,36.8,39.2
64149401,22.27,22.2,22.33,23.36,20.1,23.5,23.2
64149901,18.1,17.53,18.67,18.81,16.7,17.9,19.7
64150101,30.07,27.53,32.6,31.77,32.4,28,29.8
64150401,43.7,41.6,45.8,48.38,45.9,44.6,40.6
64151401,45.93,43.87,48,55.24,42.4,47.3,48.1
64152701,39.3,39.33,39.27,44.18,41.2,37.5,39.2
64153601,46.57,45,48.13,56.25,47.9,46.4,45.4
64153801,14.03,14.6,13.47,13.38,19.6,10.6,11.9
64154201,39.27,40.67,37.87,44.17,48.4,35,34.4
64154401,39.07,38.67,39.47,44.9,39.3,29.4,48.5
64154501,27.97,28.87,27.07,29.57,28.2,27.1,28.6
64154901,25.53,26.87,24.2,26.6,17.9,28.7,30
64155101,15.1,13.33,16.87,15.59,9.6,15.1,20.6
64155301,26.77,28.73,24.8,28,19.1,31.3,29.9
64156501,35.3,30.87,39.73,38.57,30.1,34.6,41.2
64156901,38.07,39.8,36.33,40.91,26.7,49.1,38.4
64157801,48.8,46.67,50.93,54.17,50.7,50.7,45
64158001,2.14,1.8,2.5,2.18,1,2.6,2.7
64158201,54.6,52.2,57,70,72.5,44.3,47
64159301,37.9,39.07,36.73,41.1,28.2,42.2,43.3
64160101,33.73,30.73,36.73,36.36,39.2,39.6,22.4
64161401,47.5,39.87,55.13,53.88,49.5,43.3,49.7
64161601,15.53,15.53,15.53,15.85,9.2,15.5,21.9
64162001,31.7,30.87,32.53,34.09,31.4,31.8,31.9
64162701,40.5,42.87,38.13,45,41.9,42.4,37.2
64163801,36.03,36.87,35.2,39.52,33.3,41.3,33.5
64164801,23.9,23.33,24.47,24.87,25.7,20.9,25.1
64165001,34.83,36,33.67,37.5,33.3,39.9,31.3
64165601,37.07,36.93,37.2,41.64,30.5,43.7,37
64165701,36.5,36.13,36.87,39.65,34.4,41.8,33.3
64166501,44.6,46.73,42.47,52.44,49.2,39.7,44.9
64166701,18.07,18.29,17.86,17.79,23,17.8,12.25
64167601,45.03,45.87,44.2,51.24,45.9,47,42.2
64167801,29.1,29.27,28.93,29.55,33.7,27.3,26.3
64167901,32,30.33,33.67,34.77,24.4,36.4,35.2
64168101,46.8,42.8,50.8,50.2,43.3,45.1,52
64169101,44.33,40,48.67,49.35,61.5,41.6,29.9
64170001,38.63,42.13,35.13,40.48,41.4,37.1,37.4
64170601,21.37,21.33,21.4,22.22,8.1,19.8,36.2
64171101,52.1,51.87,52.33,62.92,54.5,44.7,57.1
64171601,44.1,42.73,45.47,49.05,34.7,55.5,42.1
64171801,39.37,37.2,41.53,44.32,45.4,36.4,36.3
64172901,22.8,23,22.6,24,22.7,21.9,23.8
64173401,47.13,41.2,53.07,55.88,52.6,40.1,48.7
64173601,27.9,25.4,30.4,29.7,30.9,27.6,25.2
64174501,44.63,46.8,42.47,50.44,44.2,41.9,47.8
64174801,37.13,36.27,38,40.83,22.5,38.4,50.5
64174901,40.7,40.2,41.2,44.5,38,51.1,33
64175001,42.83,39.33,46.33,48.22,51.1,43.1,34.3
64175101,42.87,37.93,47.8,49.05,46.6,43.5,38.5
64176001,38.33,38.33,38.33,40.95,43.7,31.8,39.5
64176201,46.57,50.8,42.33,54.82,41.6,47.7,50.4
64176401,32.31,26.64,37.6,34.62,30.67,34.6,31.5
64176501,43.27,43.6,42.93,44.21,42.5,56.8,30.5
64176601,39.37,40.33,38.4,43.42,48.5,38.2,31.4
64176801,50.7,49.27,52.13,63.07,62.1,44.2,45.8
64177901,42.67,42.33,43,48.06,44.6,43.9,39.5
64178801,14.1,14.33,13.87,14.48,18,13.8,10.5
64179101,46.47,44.53,48.4,51.73,45.6,47.8,46
64179301,48.8,43.8,53.8,55.88,44.1,40,62.3
64179701,22.07,23.4,20.73,22.81,22.6,17.2,26.4
64180001,43.33,45.73,40.93,46.88,63.8,38.9,27.3
64180601,31.03,31.07,31,31.82,21.1,37,35
64181101,49.63,52.27,47,56.6,45.8,40.5,62.6
64181301,34.27,33.53,35,35.91,21.9,34.3,46.6
64181801,34.9,34.4,35.4,37.67,39.5,32.3,32.9
64181901,41.37,44.6,38.13,46.67,54.6,40.8,28.7
64182001,38.47,37.73,39.2,43.25,37.9,41.2,36.3
64182201,23,23.33,22.67,24.12,21.8,21.2,26
64182301,47.9,42.47,53.33,56.67,48.6,52.2,42.9
64182501,45.7,43.53,47.87,53.44,38.5,52.4,46.2
64182701,31.53,29.27,33.8,34.09,23,33.1,38.5
64182801,20.79,21.2,20.36,21.35,18.78,24.3,19.1
64183001,27.47,29.2,25.73,27.5,17,31.1,34.3
64183101,20.93,20.53,21.33,21.12,11.6,14.6,36.6
64183201,21.07,19.4,22.73,21.85,21.1,20.1,22
64183301,56.73,54.8,58.67,51.25,61,73.7,35.5
64183501,28.93,27.27,30.6,30.43,21.9,32.4,32.5
64184101,30.17,30.13,30.2,30.41,41.6,26.6,22.3
64184701,49.45,55.36,43.93,51.45,62,38.2,48
64184901,27.97,25.93,30.14,29.95,25,26,33.44
64185101,35.13,35.93,34.33,38.9,30.5,35,39.9
64186001,43.97,46.67,41.27,50.76,53,31.9,47
64186401,45.1,46.87,43.33,52.35,49,51.1,35.2
64186801,29.17,30.73,27.6,31.74,28.8,30.8,27.9
64187001,51.9,56.6,47.2,63.31,44.6,59.9,51.2
64187101,31.43,34.53,28.33,33.33,21.5,34.3,38.5
64187301,43.9,41.33,46.47,50.29,48.6,43.8,39.3
64188401,19.77,18.27,21.27,20.12,12.3,27.3,19.7
64188901,51.9,51.4,52.4,65.85,66.8,45.7,43.2
64189101,26.33,25.13,27.53,27.84,15.2,31,32.8
64189201,19.33,19.93,18.73,19.59,7.8,27.1,23.1
64190101,34.13,34.4,33.87,37.17,25.7,34.3,42.4
64190201,35,34.87,35.13,38.24,38,26.1,40.9
64190401,27.67,28.07,27.27,29.84,26.1,28.5,28.4
64190501,29.2,29.6,28.8,30.12,17.8,40.5,29.3
64191901,19.07,20.2,17.93,20,21.3,17.8,18.1
64192101,56.1,56.2,56,73.8,70.8,60,37.5
64192801,45.47,47,43.93,50.62,50,40.6,45.8
64193501,31.27,28.73,33.8,34.48,29.1,27.3,37.4
64193601,45.3,45.87,44.73,53.89,39.5,54.5,41.9
64194201,30,29.87,30.13,31,36.8,26.8,26.4
64194501,45.33,42.53,48.13,49.47,53.7,39.1,43.2
64194701,12.31,10.43,14.07,11.08,23.2,5.67,7.4
64195101,32.97,34,31.93,34.32,28.4,38.9,31.6
64195201,43.4,45.73,41.07,50.12,43.1,44.2,42.9
64195501,48.63,51.93,45.33,54,61.5,48.6,35.8
64195601,35.47,37.07,33.87,33.89,21.9,32,52.5
64196601,32.43,31.8,33.07,33.7,20.2,30.8,46.3
64196701,46.53,47.87,45.2,53.43,48.3,40.2,51.1
64197801,49.97,54.07,45.87,60.71,55.3,39.5,55.1
64198101,35.6,32.8,38.4,37.71,24.9,29.6,52.3
64198701,39.03,42,36.07,42.5,28.3,40.9,47.9
64199201,43.53,45.33,41.73,46.81,36.7,45.5,48.4
64199301,37.77,36.4,39.13,42.11,40.2,36.6,36.5
64199601,45.8,45.2,46.4,51.53,52.9,42.4,42.1
64200501,40.53,40.27,40.8,46,32.8,43.1,45.7
64200601,43.57,45.2,41.93,46.24,62.3,32.9,35.5
64200901,42.47,40.07,44.87,46.94,54.3,33.6,39.5
64202001,45.47,54.53,36.4,50.06,53.6,39.2,43.6
64202201,38.4,38.47,38.33,42.4,35.2,52.3,27.7
64202501,15.4,15.6,15.2,15.59,10.4,16.8,19
64202601,38.07,37.8,38.33,42.37,41.2,37.9,35.1
64202701,34.23,38.4,30.07,35.41,48.8,33.7,20.2
64202901,37.93,36.93,39,39.67,35.22,40.3,38
64204201,44.3,40.73,47.87,49.67,25,51.9,56
64204501,44.23,42.93,45.53,50.94,58.2,43.8,30.7
64204601,36.67,34.07,39.27,39.9,41.1,30.8,38.1
64204701,50.9,54.6,47.2,60.43,52.9,51,48.8
64205801,43.5,46.27,40.73,48,47.3,43.5,39.7
64205901,30.2,32.07,28.33,32.32,35.8,27.7,27.1
64206701,32.67,34.6,30.73,35.05,27.7,32.3,38
64207301,40.1,39.5,40.67,41.68,37.1,28.8,56
64207801,35.27,31,39.53,38.42,28.8,37.9,39.1
64207901,40.8,38.33,43.27,45.21,44.6,37.3,40.5
64209301,30.4,33,27.8,32,22.8,24.7,43.7
64211001,28.83,28.73,28.93,29.17,25.6,28.8,32.1
64212701,54.97,54.93,55,69.09,54.9,56,54
65000201,36,36.07,35.93,38.38,30.44,35.8,41.2
65000301,44.37,47.4,41.33,48.93,35,55.1,43
65000501,49.13,48.27,50,57.14,54.9,51.4,41.1
65000601,35.03,37,33.07,37.86,36.5,33.3,35.3
65000701,48.97,50.33,47.6,57.14,39.9,49.2,57.8
65000801,44.23,41.67,46.8,48.12,32,56.7,44
65000901,45.73,49.53,41.93,53.81,51.9,44.7,40.6
65001001,48.33,44,52.67,58.82,53.5,42.2,49.3
65001101,44.97,39.13,50.8,50.47,31.4,51.2,52.3
65001201,38.13,39.67,36.6,40.1,39.7,38.1,36.6
65001301,33.87,33.2,34.53,36.43,25.3,42.8,33.5
65001401,36.67,34.6,38.73,39.71,28.1,41.5,40.4
65001501,38.37,38.27,38.47,43.15,37.5,39.4,38.2
65001601,40.03,37.4,42.67,43,32.2,35.7,52.2
65001701,41.37,38.73,44,47.68,49.1,36.5,38.5
65001801,46.2,42.87,49.53,54.18,31.1,48.8,58.7
65001901,40.53,40.53,40.53,44.65,48.5,44.3,28.8
65002001,29.2,28.67,29.73,30.92,24.6,24,39
65002101,30.9,32,29.8,33.41,30.6,29.4,32.7
65002201,45,45.2,44.8,48.87,50,43.6,41.4
65002301,35.23,33.27,37.2,38.81,36,34.1,35.6
65002401,37.93,40.4,35.47,43.19,33.4,39.2,41.2
65002501,37.4,36.13,38.67,40.84,33,38.1,41.1
65002601,29.5,30.27,28.73,31.95,31.2,28.9,28.4
65002701,34.37,32.13,36.6,35,39.1,34.5,29.5
65002801,44.3,41.47,47.13,50.06,48.2,37.9,46.8
65002901,41.8,43.33,40.27,48.74,44.6,44.1,36.7
65003001,26,28.4,23.6,27.61,30.8,22.9,24.3
65003101,32.6,31.33,33.87,35.64,27.8,30.9,39.1
65003201,46.3,47.6,45,54.95,50,44.1,44.8
65003301,33.5,31.8,35.2,34.75,44.4,31.1,25
65003401,42.97,40.33,45.6,49.72,40.9,46.6,41.4
65003501,19.9,19.07,20.73,20.4,17.9,20,21.8
65003601,43.1,44.53,41.67,50.56,43.3,43.3,42.7
65003701,32.27,32.87,31.67,35.14,32.4,28.5,35.9
65003801,25.07,23.67,26.47,26.67,17.3,28.8,29.1
65003901,42.5,41.67,43.33,48.89,38.4,43.7,45.4
65004001,50.63,53.13,48.13,61.07,47.2,45.1,59.6
65004101,34.73,36.6,32.87,33.95,36,34.3,33.9
65004201,37.7,38.33,37.07,42.86,41.2,39.3,32.6
65004301,33.53,32.6,34.47,35.81,27.8,40.3,32.5
65004401,31.2,31.47,30.93,33.7,31.7,28.3,33.6
65004501,25.33,26.13,24.53,26.88,24.9,27.4,23.7
65004601,18.2,17.93,18.47,18.54,19.2,16.7,18.7
65004701,26.83,25.93,27.73,28.42,16,35.5,29
65004801,38.83,36.13,41.53,43.62,32.5,43.8,40.2
65004901,43.17,44.33,42,46.84,42,40.2,47.3
65005001,42.13,45.47,38.8,48.95,40.9,44.1,41.4
65005101,41.23,41.07,41.4,45.76,34.1,46.2,43.4
65005201,29.47,30.87,28.07,31.43,32.4,27.3,28.7
65005301,48.73,54.93,42.53,53.14,46.4,41.4,58.4
65005401,42.03,37.4,46.67,47.78,51.5,42.7,31.9
65005501,29.13,30,28.27,31.45,23.8,29.7,33.9
65005601,39.24,33.64,44.47,45.26,41.22,36.5,40.2
65005701,50.23,48.47,52,61.36,50,50.3,50.4
65005801,33.67,37.4,29.93,36.91,33.5,31.3,36.2
65005901,43.33,37.4,49.27,48,44.6,42,43.4
65006001,38.47,35.13,41.8,42.86,29,39.9,46.5
65006101,19.93,18.33,21.53,20.92,16,23.4,20.4
65006201,36.3,34.47,38.13,40.5,27.1,41.9,39.9
65006301,36.3,36.2,36.4,38.81,36.8,32.3,39.8
65006401,36.27,36.2,36.33,37.5,55.9,26.9,26
65006501,52.77,54.53,51,63.08,56.8,45.7,55.8
65006601,43.63,44.53,42.73,51.5,40.6,43.8,46.5
65006701,41.34,43.4,39.14,46.58,35.44,43.3,44.7
65006801,45.27,48.13,42.4,52.62,48.7,43.2,43.9
65006901,24.07,22.53,25.6,25.52,20,24.1,28.1
65007001,35,38.4,31.6,37.86,25.1,45,34.9
65007101,8.17,8.07,8.27,8.25,5,10.3,9.2
65007201,33.07,34.13,32,35.23,36.9,28.4,33.9
65007301,39.57,36.27,42.87,42.16,48.2,31.7,38.8
65007401,35.87,35.33,36.4,39.43,35.3,44.3,28
65007501,40.7,42.73,38.67,46.53,35.1,49.1,37.9
65007601,38.33,38.07,38.6,40.65,43.7,35.8,35.5
65007701,24.5,26.07,22.93,25.92,22.3,25.8,25.4
