bibkey,paper,task,subject,choice,r,gender,age,country
Rommel2019,Rommel et al. 2019,HL,2,4,0.5813164902827702,0,35,Germany
Rommel2019,Rommel et al. 2019,HL,3,3,0.1707960718125105,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,4,5,0.7263113273447379,0,53,Germany
Rommel2019,Rommel et al. 2019,HL,5,1,-0.37,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,6,4,0.3536891185911372,0,50,Germany
Rommel2019,Rommel et al. 2019,HL,7,4,0.47717374640516935,0,60,Germany
Rommel2019,Rommel et al. 2019,HL,9,4,0.35492041553603487,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,10,4,0.3850461258878931,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,11,3,0.0719619599939324,0,57,Germany
Rommel2019,Rommel et al. 2019,HL,12,1,-0.37,0,66,Germany
Rommel2019,Rommel et al. 2019,HL,13,7,1.2827487677615135,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,14,5,0.6331371887680143,0,62,Germany
Rommel2019,Rommel et al. 2019,HL,15,6,1.0051646456355228,0,32,Germany
Rommel2019,Rommel et al. 2019,HL,16,4,0.39070661350386215,0,64,Germany
Rommel2019,Rommel et al. 2019,HL,17,7,1.403483949592337,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,18,7,1.1523176275286822,0,46,Germany
Rommel2019,Rommel et al. 2019,HL,19,7,1.4498562382068485,0,59,Germany
Rommel2019,Rommel et al. 2019,HL,20,6,1.099845946743153,0,26,Germany
Rommel2019,Rommel et al. 2019,HL,21,7,1.1642014569137245,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,22,6,0.8813069259980694,0,23,Germany
Rommel2019,Rommel et al. 2019,HL,23,3,0.3161250207433477,0,32,Germany
Rommel2019,Rommel et al. 2019,HL,24,4,0.5693245982890949,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,25,8,1.840183580261655,0,45,Germany
Rommel2019,Rommel et al. 2019,HL,26,6,0.9146480184979736,0,38,Germany
Rommel2019,Rommel et al. 2019,HL,27,6,1.0053361291065812,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,29,4,0.49830931032542136,0,30,Germany
Rommel2019,Rommel et al. 2019,HL,30,2,-0.05640093952417369,0,39,Germany
Rommel2019,Rommel et al. 2019,HL,32,4,0.43412744989152996,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,33,4,0.3712248284579255,0,34,Germany
Rommel2019,Rommel et al. 2019,HL,34,3,0.03475216125836596,0,37,Germany
Rommel2019,Rommel et al. 2019,HL,35,4,0.33091809796635063,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,36,2,-0.35201681692153214,0,49,Germany
Rommel2019,Rommel et al. 2019,HL,37,2,-0.02207216395065187,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,38,5,0.794921839479357,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,39,5,0.6143413569545373,0,38,Germany
Rommel2019,Rommel et al. 2019,HL,40,3,0.17412590957712384,0,37,Germany
Rommel2019,Rommel et al. 2019,HL,41,3,0.11871594983153046,0,35,Germany
Rommel2019,Rommel et al. 2019,HL,42,7,1.4871778990328313,0,28,Germany
Rommel2019,Rommel et al. 2019,HL,43,7,1.1856584869045763,0,51,Germany
Rommel2019,Rommel et al. 2019,HL,44,2,-0.28371706388890744,0,34,Germany
Rommel2019,Rommel et al. 2019,HL,45,6,1.1245878451503812,0,48,Germany
Rommel2019,Rommel et al. 2019,HL,46,1,-0.37,0,32,Germany
Rommel2019,Rommel et al. 2019,HL,47,7,1.475185737698339,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,48,4,0.5789866603328846,0,41,Germany
Rommel2019,Rommel et al. 2019,HL,49,6,1.0424632396083324,0,56,Germany
Rommel2019,Rommel et al. 2019,HL,50,3,0.08454170346492902,0,61,Germany
Rommel2019,Rommel et al. 2019,HL,51,5,0.8357212735060602,0,50,Germany
Rommel2019,Rommel et al. 2019,HL,52,6,0.9703380041290074,0,55,Germany
Rommel2019,Rommel et al. 2019,HL,54,3,0.1610233137314208,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,55,6,1.0137158337747678,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,56,7,1.4552051179297267,0,53,Germany
Rommel2019,Rommel et al. 2019,HL,57,6,1.0236878529191016,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,58,7,1.4834903131239117,0,55,Germany
Rommel2019,Rommel et al. 2019,HL,59,4,0.5386015705927275,0,30,Germany
Rommel2019,Rommel et al. 2019,HL,60,4,0.393115855678916,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,61,3,0.14279528955230492,0,60,Germany
Rommel2019,Rommel et al. 2019,HL,62,4,0.3597948660631664,0,40,Germany
Rommel2019,Rommel et al. 2019,HL,63,6,0.8634124096482992,0,26,Germany
Rommel2019,Rommel et al. 2019,HL,64,6,1.0493428864050656,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,65,2,-0.022913502510637007,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,66,6,0.9274501048959791,0,59,Germany
Rommel2019,Rommel et al. 2019,HL,67,3,0.16648544381139802,0,51,Germany
Rommel2019,Rommel et al. 2019,HL,68,6,1.0152033459628,0,57,Germany
Rommel2019,Rommel et al. 2019,HL,70,7,1.2877539479313418,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,71,1,-0.37,0,40,Germany
Rommel2019,Rommel et al. 2019,HL,72,7,1.2876380168646573,0,56,Germany
Rommel2019,Rommel et al. 2019,HL,73,7,1.2238125459477305,0,52,Germany
Rommel2019,Rommel et al. 2019,HL,74,4,0.332135300678201,0,32,Germany
Rommel2019,Rommel et al. 2019,HL,75,7,1.4454365671938285,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,77,2,-0.2953515377640724,0,45,Germany
Rommel2019,Rommel et al. 2019,HL,78,4,0.43602151909144593,0,37,Germany
Rommel2019,Rommel et al. 2019,HL,79,3,0.09067213603761048,0,30,Germany
Rommel2019,Rommel et al. 2019,HL,80,7,1.1840910494793206,0,38,Germany
Rommel2019,Rommel et al. 2019,HL,81,6,0.8733074855757877,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,82,4,0.392288566424977,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,83,2,-0.010871893893927287,0,41,Germany
Rommel2019,Rommel et al. 2019,HL,84,5,0.6938586228853091,0,83,Germany
Rommel2019,Rommel et al. 2019,HL,85,6,1.0971021361183375,0,34,Germany
Rommel2019,Rommel et al. 2019,HL,86,2,-0.04471421957015986,0,41,Germany
Rommel2019,Rommel et al. 2019,HL,87,3,0.1114901727740653,0,39,Germany
Rommel2019,Rommel et al. 2019,HL,88,3,0.09439925987971948,0,26,Germany
Rommel2019,Rommel et al. 2019,HL,89,5,0.761160929701291,0,38,Germany
Rommel2019,Rommel et al. 2019,HL,90,5,0.600956429853104,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,91,5,0.6368040462071076,0,27,Germany
Rommel2019,Rommel et al. 2019,HL,92,6,0.9601353743812069,0,39,Germany
Rommel2019,Rommel et al. 2019,HL,93,3,0.035314331653062254,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,94,6,1.0070353159913792,0,34,Germany
Rommel2019,Rommel et al. 2019,HL,95,5,0.7592815220076591,0,66,Germany
Rommel2019,Rommel et al. 2019,HL,96,6,0.9814210490090772,0,25,Germany
Rommel2019,Rommel et al. 2019,HL,97,4,0.3589210833981633,0,57,Germany
Rommel2019,Rommel et al. 2019,HL,99,7,1.3760947966668755,0,64,Germany
Rommel2019,Rommel et al. 2019,HL,100,5,0.6758761020237579,0,51,Germany
Rommel2019,Rommel et al. 2019,HL,102,4,0.46108555892482395,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,103,4,0.4649386969092302,0,61,Germany
Rommel2019,Rommel et al. 2019,HL,104,2,-0.09141835056245323,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,105,5,0.8449276890559122,0,64,Germany
Rommel2019,Rommel et al. 2019,HL,106,7,1.3324381440365687,0,30,Germany
Rommel2019,Rommel et al. 2019,HL,107,5,0.8236669674655422,0,56,Germany
Rommel2019,Rommel et al. 2019,HL,108,4,0.37879276819759977,0,65,Germany
Rommel2019,Rommel et al. 2019,HL,109,5,0.6615098839253187,0,36,Germany
Rommel2019,Rommel et al. 2019,HL,110,3,0.2746347787464038,0,45,Germany
Rommel2019,Rommel et al. 2019,HL,111,5,0.7361366605060174,0,62,Germany
Rommel2019,Rommel et al. 2019,HL,112,7,1.4532570889685303,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,113,7,1.3767705783713609,0,56,Germany
Rommel2019,Rommel et al. 2019,HL,114,5,0.6216872816951945,0,33,Germany
Rommel2019,Rommel et al. 2019,HL,115,4,0.3295340691250749,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,116,3,0.19115705413045364,0,30,Germany
Rommel2019,Rommel et al. 2019,HL,117,2,0.02826019452884798,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,118,4,0.5730869506439193,0,48,Germany
Rommel2019,Rommel et al. 2019,HL,119,3,0.0805639988090843,0,44,Germany
Rommel2019,Rommel et al. 2019,HL,120,5,0.6063306922651827,0,66,Germany
Rommel2019,Rommel et al. 2019,HL,121,6,1.1082058534258976,0,29,Germany
Rommel2019,Rommel et al. 2019,HL,122,3,0.10874155952828006,0,62,Germany
Rommel2019,Rommel et al. 2019,HL,123,6,1.0052799796452745,0,55,Germany
Rommel2019,Rommel et al. 2019,HL,124,4,0.5298913253913633,0,27,Germany
Rommel2019,Rommel et al. 2019,HL,126,6,1.0455276777269318,0,42,Germany
Rommel2019,Rommel et al. 2019,HL,127,5,0.6661639389162883,0,28,Germany
Rommel2019,Rommel et al. 2019,HL,128,6,0.9840152071788907,0,53,Germany
Rommel2019,Rommel et al. 2019,HL,129,5,0.5986831503966823,0,31,Germany
Rommel2019,Rommel et al. 2019,HL,130,5,0.7855510596372187,0,56,Germany
Rommel2019,Rommel et al. 2019,HL,131,3,0.24238884983584288,0,38,Germany
Rommel2019,Rommel et al. 2019,HL,132,5,0.8323380494723096,0,39,Germany
Rommel2019,Rommel et al. 2019,HL,133,6,0.956726825190708,0,66,Germany
Rommel2019,Rommel et al. 2019,HL,1,5,0.7391625372134148,1,55,Germany
Rommel2019,Rommel et al. 2019,HL,8,3,0.07026758924359455,1,26,Germany
Rommel2019,Rommel et al. 2019,HL,28,2,-0.04798376046121117,1,49,Germany
Rommel2019,Rommel et al. 2019,HL,31,3,0.1526827372610569,1,31,Germany
Rommel2019,Rommel et al. 2019,HL,53,4,0.3447893172991462,1,31,Germany
Rommel2019,Rommel et al. 2019,HL,69,5,0.6775410617189481,1,56,Germany
Rommel2019,Rommel et al. 2019,HL,76,3,0.04057568007148803,1,59,Germany
Rommel2019,Rommel et al. 2019,HL,98,6,0.9201000987319276,1,28,Germany
Rommel2019,Rommel et al. 2019,HL,101,4,0.5694621502864174,1,30,Germany
Rommel2019,Rommel et al. 2019,HL,125,6,0.9854890201240778,1,59,Germany
