SubjectID,RiskType1,RiskType2,task,choice,r,bibkey,paper
1,8,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
2,2,1,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
3,4,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
4,3,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
5,8,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
6,5,5,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
7,7,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
8,0,0,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
9,2,3,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
10,8,7,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
11,7,8,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
12,7,7,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
13,3,2,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
14,5,1,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
15,2,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
16,2,2,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
17,4,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
18,7,6,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
19,4,1,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
20,7,7,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
21,6,5,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
22,5,3,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
23,7,5,BRET,19,3.1666666666666665,Csermely2016,Csermely and Rabas 2016
24,6,5,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
25,6,0,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
26,3,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
27,2,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
28,4,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
29,7,5,BRET,21,5.25,Csermely2016,Csermely and Rabas 2016
30,6,6,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
31,8,6,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
32,2,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
33,4,4,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
34,3,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
35,5,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
36,8,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
37,7,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
38,3,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
39,10,8,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
40,7,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
41,3,3,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
42,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
43,7,6,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
44,3,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
45,6,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
46,5,2,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
47,2,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
48,3,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
49,7,4,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
50,7,7,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
51,5,5,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
52,4,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
53,4,7,BRET,20,4,Csermely2016,Csermely and Rabas 2016
54,2,2,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
55,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
56,8,7,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
57,7,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
58,7,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
59,2,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
60,7,6,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
61,5,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
62,10,5,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
63,3,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
64,6,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
65,8,5,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
66,7,3,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
67,2,0,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
68,2,7,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
69,2,1,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
70,2,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
71,3,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
72,7,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
73,7,5,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
74,8,8,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
75,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
76,3,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
77,4,3,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
78,7,6,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
79,3,3,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
80,6,3,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
81,2,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
82,8,7,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
83,6,8,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
84,4,1,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
85,2,2,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
86,6,6,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
87,7,7,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
88,4,2,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
89,4,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
90,3,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
91,8,4,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
92,3,3,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
93,7,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
94,7,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
95,7,5,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
96,2,1,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
97,8,8,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
98,5,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
99,6,2,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
100,8,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
101,8,8,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
102,7,3,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
103,3,2,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
104,6,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
105,3,1,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
106,3,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
107,3,1,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
108,7,7,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
109,1,1,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
110,6,4,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
111,8,6,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
112,6,3,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
113,6,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
114,8,8,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
115,6,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
116,7,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
117,2,0,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
118,0,2,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
119,8,6,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
120,4,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
121,3,3,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
122,8,8,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
123,3,3,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
124,2,0,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
125,2,1,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
126,2,2,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
127,1,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
128,7,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
129,1,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
130,1,1,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
131,8,7,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
132,7,4,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
133,5,10,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
134,4,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
135,8,5,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
136,7,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
137,3,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
138,6,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
139,6,3,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
140,6,1,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
141,5,5,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
142,2,2,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
143,3,2,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
144,5,6,BRET,25,Inf,Csermely2016,Csermely and Rabas 2016
145,7,7,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
146,7,5,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
147,7,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
148,0,0,BRET,4,0.19047619047619047,Csermely2016,Csermely and Rabas 2016
149,4,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
150,3,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
151,7,6,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
152,5,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
153,10,9,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
154,3,2,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
155,0,0,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
156,6,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
157,7,5,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
158,8,4,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
159,4,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
160,9,8,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
161,8,7,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
162,4,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
163,6,3,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
164,5,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
165,7,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
166,1,8,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
167,5,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
168,9,6,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
169,10,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
170,3,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
171,2,2,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
172,3,3,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
173,3,1,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
174,5,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
175,7,8,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
176,2,2,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
177,5,5,BRET,4,0.19047619047619047,Csermely2016,Csermely and Rabas 2016
178,3,0,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
179,1,2,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
180,7,7,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
181,6,7,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
182,5,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
183,5,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
184,7,8,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
185,7,6,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
186,9,8,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
187,6,3,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
188,5,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
189,8,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
190,5,6,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
191,8,7,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
192,3,1,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
193,6,6,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
194,5,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
195,7,6,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
196,7,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
197,2,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
198,1,1,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
199,8,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
200,3,3,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
201,8,7,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
202,7,7,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
203,7,7,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
204,4,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
205,5,3,BRET,4,0.19047619047619047,Csermely2016,Csermely and Rabas 2016
206,3,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
207,8,0,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
208,4,1,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
209,7,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
210,7,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
211,8,4,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
212,8,9,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
213,3,3,BRET,24,24,Csermely2016,Csermely and Rabas 2016
214,2,5,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
215,3,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
216,6,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
217,2,3,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
218,8,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
219,3,1,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
220,7,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
221,7,8,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
222,5,2,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
223,5,5,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
224,6,8,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
225,4,5,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
226,2,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
227,2,2,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
228,4,1,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
229,3,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
230,3,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
231,9,9,BRET,11,0.7857142857142857,Csermely2016,Csermely and Rabas 2016
232,4,4,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
233,5,3,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
234,3,3,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
235,4,3,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
236,8,7,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
237,4,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
238,2,1,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
239,7,6,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
240,7,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
241,2,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
242,4,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
243,3,3,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
244,7,5,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
245,7,5,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
246,3,3,BRET,16,1.7777777777777777,Csermely2016,Csermely and Rabas 2016
247,6,3,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
248,1,6,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
249,10,4,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
250,2,2,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
251,10,5,BRET,14,1.2727272727272727,Csermely2016,Csermely and Rabas 2016
252,5,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
253,6,1,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
254,7,7,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
255,7,6,BRET,9,0.5625,Csermely2016,Csermely and Rabas 2016
256,1,2,BRET,6,0.3157894736842105,Csermely2016,Csermely and Rabas 2016
257,2,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
258,5,4,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
259,7,9,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
260,3,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
261,4,2,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
262,6,1,BRET,17,2.125,Csermely2016,Csermely and Rabas 2016
263,5,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
264,5,5,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
265,8,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
266,7,5,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
267,9,9,BRET,19,3.1666666666666665,Csermely2016,Csermely and Rabas 2016
268,5,2,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
269,3,4,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
270,4,3,BRET,8,0.47058823529411764,Csermely2016,Csermely and Rabas 2016
271,8,5,BRET,5,0.25,Csermely2016,Csermely and Rabas 2016
272,6,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
273,7,3,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
274,1,1,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
275,3,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
276,6,2,BRET,13,1.0833333333333333,Csermely2016,Csermely and Rabas 2016
277,8,7,BRET,12,0.9230769230769231,Csermely2016,Csermely and Rabas 2016
278,6,3,BRET,15,1.5,Csermely2016,Csermely and Rabas 2016
279,7,7,BRET,10,0.6666666666666666,Csermely2016,Csermely and Rabas 2016
280,5,2,BRET,7,0.3888888888888889,Csermely2016,Csermely and Rabas 2016
